Date,Time,open,high,low,close,volume
2020-05-13,07:52:30Z,2855.25,2856.0,2855.25,2855.5,-1
2020-05-13,07:52:35Z,2855.25,2856.0,2855.25,2855.5,-1
2020-05-13,07:52:40Z,2855.5,2856.0,2855.25,2855.75,-1
2020-05-13,07:52:45Z,2855.5,2856.0,2855.25,2855.75,-1
2020-05-13,07:52:50Z,2855.5,2856.0,2855.5,2855.75,-1
2020-05-13,07:52:55Z,2855.25,2856.0,2855.0,2855.5,-1
2020-05-13,07:53:00Z,2855.25,2855.75,2855.0,2855.5,-1
2020-05-13,07:53:05Z,2855.0,2855.5,2855.0,2855.5,-1
2020-05-13,07:53:10Z,2855.25,2855.5,2855.0,2855.5,-1
2020-05-13,07:53:15Z,2855.25,2855.5,2855.25,2855.5,-1
2020-05-13,07:53:20Z,2855.0,2855.5,2854.5,2855.25,-1
2020-05-13,07:53:25Z,2854.75,2855.0,2854.5,2855.0,-1
2020-05-13,07:53:30Z,2855.0,2855.5,2854.75,2855.25,-1
2020-05-13,07:53:35Z,2855.25,2855.5,2855.0,2855.5,-1
2020-05-13,07:53:40Z,2855.0,2855.5,2854.5,2855.25,-1
2020-05-13,07:53:45Z,2854.5,2855.25,2854.25,2854.75,-1
2020-05-13,07:53:50Z,2855.25,2855.5,2855.0,2855.5,-1
2020-05-13,07:53:55Z,2855.25,2855.5,2855.25,2855.5,-1
2020-05-13,07:54:00Z,2855.25,2855.75,2855.25,2855.5,-1
2020-05-13,07:54:05Z,2855.25,2855.75,2855.25,2855.5,-1
2020-05-13,07:54:10Z,2855.25,2855.5,2855.25,2855.5,-1
2020-05-13,07:54:15Z,2855.25,2855.5,2855.25,2855.5,-1
2020-05-13,07:54:20Z,2855.25,2855.75,2855.0,2855.5,-1
2020-05-13,07:54:25Z,2855.5,2856.0,2855.0,2855.75,-1
2020-05-13,07:54:30Z,2855.25,2855.5,2855.0,2855.5,-1
2020-05-13,07:54:35Z,2855.0,2855.75,2854.5,2855.25,-1
2020-05-13,07:54:40Z,2854.75,2855.0,2854.5,2855.0,-1
2020-05-13,07:54:45Z,2855.0,2855.25,2854.75,2855.25,-1
2020-05-13,07:54:50Z,2855.0,2855.5,2855.0,2855.25,-1
2020-05-13,07:54:55Z,2855.0,2855.5,2855.0,2855.25,-1
2020-05-13,07:55:00Z,2855.25,2855.75,2855.25,2855.75,-1
2020-05-13,07:55:05Z,2855.5,2856.0,2855.5,2855.75,-1
2020-05-13,07:55:10Z,2856.0,2856.25,2855.75,2856.25,-1
2020-05-13,07:55:15Z,2855.75,2856.25,2855.75,2856.0,-1
2020-05-13,07:55:20Z,2856.0,2856.5,2855.75,2856.25,-1
2020-05-13,07:55:25Z,2856.0,2856.5,2855.75,2856.25,-1
